iter	Passed	Remaining
854	972	164
855	973	163
856	974	162
857	975	161
858	976	160
859	977	159
860	979	158
861	980	156
862	981	155
863	982	154
864	983	153
865	984	152
866	986	151
867	987	150
868	988	148
869	989	147
870	990	146
871	991	145
872	992	144
873	993	143
874	995	142
875	996	141
876	997	139
877	998	138
878	999	137
879	1000	136
880	1001	135
881	1003	134
882	1004	133
883	1005	131
884	1006	130
885	1007	129
886	1008	128
887	1009	127
888	1010	126
889	1012	125
890	1013	123
891	1014	122
892	1015	121
893	1016	120
894	1017	119
895	1018	118
896	1019	117
897	1021	115
898	1022	114
899	1023	113
900	1024	112
901	1025	111
902	1026	110
903	1027	109
904	1029	108
905	1030	106
906	1031	105
907	1032	104
908	1033	103
909	1034	102
910	1035	101
911	1037	100
912	1038	98
913	1039	97
914	1040	96
915	1041	95
916	1042	94
917	1043	93
918	1045	92
919	1046	90
920	1047	89
921	1048	88
922	1049	87
923	1051	86
924	1052	85
925	1053	84
926	1054	83
927	1055	81
928	1056	80
929	1057	79
930	1058	78
931	1060	77
932	1061	76
933	1062	75
934	1063	73
935	1064	72
936	1065	71
937	1066	70
938	1067	69
939	1068	68
940	1070	67
941	1071	65
942	1072	64
943	1073	63
944	1074	62
945	1075	61
946	1076	60
947	1077	59
948	1079	57
949	1080	56
950	1081	55
951	1082	54
952	1083	53
953	1084	52
954	1085	51
955	1086	50
956	1088	48
957	1089	47
958	1090	46
959	1091	45
960	1092	44
961	1093	43
962	1094	42
963	1095	40
964	1097	39
965	1098	38
966	1099	37
967	1100	36
968	1101	35
969	1102	34
970	1103	32
971	1104	31
972	1106	30
973	1107	29
974	1108	28
975	1109	27
976	1110	26
977	1111	25
978	1112	23
979	1113	22
980	1115	21
981	1116	20
982	1117	19
983	1118	18
984	1119	17
985	1120	15
986	1121	14
987	1123	13
988	1124	12
989	1125	11
990	1126	10
991	1127	9
992	1128	7
993	1129	6
994	1130	5
995	1131	4
996	1134	3
997	1135	2
998	1137	1
999	1138	0
